# readiness.tsv — the ATTESTATION TABLE read by conformance/readiness.sh.
#
# Nine conditional readiness checks used to be nine files implementing one shape: detect a SURFACE
# (data / deploy / AI / agent / sensitive data); if it is absent render N/A; if it is present require
# a RECORD LINE in a named artifact and require its template PLACEHOLDER to be gone. The shape lives
# in conformance/readiness.sh; the policy lives here.
#
# THE THREE-STATE CONTRACT IS UNCHANGED and is the whole point: N/A (no surface — the check declined
# and said so) · OK (the record is present and filled) · FAIL (record missing, or still holding its
# placeholder). rc is 0 for N/A and OK, 1 for FAIL, 2 only for usage. A green run proves a posture
# was RECORDED — never that the recorded thing is true, tested, or works. Each case's own honest
# ceiling is carried verbatim in its `ok` text.
#
# DIRECTIONAL SAFETY: detection ESCALATES, it never EXEMPTS. Every trigger is deliberately
# conservative, so a MISS means "not nagged", never "exempted" — the matching conformance/*-readiness.md
# checklist is the gate of record and a human applies it regardless.
#
# FORMAT — TWELVE tab-separated fields per data line; `-` means "not applicable to this row".
# `#` comments and blank lines are skipped. `{}` in any text is substituted (see below).
#
#   1 case          the check name: `sh conformance/readiness.sh <case> [project-dir]`
#   2 kind          case | file | line | absent
#   3 id            file rows DEFINE an id; line/absent rows REFER to one. `-` on case rows.
#   4 a             case: the trigger predicate (conformance/surface-lib.sh; `pred:arg` passes arg)
#                   file: SPACE-separated candidate paths, first existing one wins
#   5 b             case: the N/A text (`\n` = a further line)   line: the record-line regex
#                                                                absent: the regex that must NOT appear
#   6 c             case: the OK text                            line: the placeholder regex, or `-`
#   7 d             line: a regex the record line must ALSO match, or `-`
#   8 fail-missing  file: text when no candidate exists · line: text when the record line is absent
#                   (`-` on a line row means this row only judges an EXISTING line)
#   9 fail-reject   line/absent: text when the placeholder/forbidden regex matches
#  10 fail-require  line: text when field 7 does not match
#  11 sample-good   the --selftest fixture cell: file rows = seed content · line rows = a conforming line
#  12 sample-bad    the --selftest mutant cell: a line that trips field 6, 7 or (absent) field 5
#
# `{}` SUBSTITUTION — one token, and its meaning is positional exactly as the retired checks' `$dir`
# / `$plan` / `$card` were: on a `case` N/A text and a `file` fail text it is the PROJECT DIR; on a
# `line`/`absent` text it is the RESOLVED FILE PATH. Texts with no `{}` are emitted verbatim.
#
# ALL greps are POSIX ERE and CASE-INSENSITIVE (grep -Eiq), matching every retired check's own flags.
#
# --selftest generates, per case: a no-surface fixture (must render N/A) · a filled fixture (must
# render OK) · one mutant per `file` row (delete the file) · one per `line` row with a fail-missing
# text (delete the record line) · one per row with a sample-bad (plant it). Each mutant must go RED
# with THAT ROW'S text, so a row that cannot be killed is a row that is not really enforced.

# ── agentops-ready (MP-3a) — an AGENTIC project records its agent-run trace discipline.
agentops-ready	case	-	is_agentic	N/A: {} is not declared agentic (no 'Agentic: yes' in CLAUDE.md/RUNBOOK.md) — skipping (no agent runs to trace)	agentops-ready: OK — agent-ops posture is RECORDED (trace discipline declared). NOTE: this does NOT verify traces actually emit, are complete, or that the agent's behavior conforms (process-conformance) — those are Manual rows in agentic-ops-readiness.md requiring operator evidence.	-	-	-	-	-	-
agentops-ready	file	rb	RUNBOOK.md	-	-	-	FAIL: {} is agentic but has no RUNBOOK.md (need the §8 Agent-ops record) — see conformance/agentic-ops-readiness.md	-	-	# RUNBOOK\n\n## 8. Monitoring & alerting	-
agentops-ready	line	rb	-	agent-ops:	agent-ops: \[trace\]	-	FAIL: RUNBOOK has no 'Agent-ops:' record — declare the agent-run trace discipline (schema + where emitted); see docs/operations/agentic-ops.md	FAIL: 'Agent-ops:' still holds the [trace] placeholder — record the real trace posture (e.g. emitter + sink)	-	- Agent-ops: trace=OTel-GenAI subset, emitter=CC-transcript, sink=traces/	- Agent-ops: [trace]

# ── dr-ready — a project that HANDLES PERSISTENT DATA has DR documented and a restore drill recorded.
dr-ready	case	-	has_data_surface	N/A: {} has no persistent-data surface (no DB url in .env.example / migrations dir / compose db) — skipping.\n     WARNING: detection is conservative. If this project handles durable data, this N/A is WRONG —\n     apply conformance/dr-readiness.md manually. This check escalates (detect -> require); it never exempts.	dr-ready: OK — DR is DOCUMENTED and a restore drill is RECORDED. NOTE: this does NOT verify the restore succeeded or met RTO/RPO — those are Manual rows in dr-readiness.md requiring on-call/operator evidence.	-	-	-	-	-	-
dr-ready	file	bia	docs/continuity/BIA.md	-	-	-	FAIL: data project has no BIA at docs/continuity/BIA.md (run templates/BIA-TEMPLATE.md) — see conformance/dr-readiness.md	-	-	# BIA\ncritical tier: RTO 1h / RPO 15m	-
dr-ready	file	rb	RUNBOOK.md	-	-	-	FAIL: data project has no RUNBOOK.md (need a Disaster recovery section with RPO/RTO + a recorded drill)	-	-	# RUNBOOK	-
dr-ready	line	rb	-	^#{1,6}[[:space:]].*disaster recovery	-	-	FAIL: RUNBOOK.md has no Disaster recovery section	-	-	## Disaster recovery	-
dr-ready	absent	rb	-	\[< 24h default\]|\[< 4h default\]	-	-	-	FAIL: RUNBOOK RPO/RTO still hold the template placeholder ([< 24h default] / [< 4h default]) — set real targets	-	-	- RPO: [< 24h default] RTO: [< 4h default]
dr-ready	line	rb	-	restore verified:	restore verified: \[date\]	-	FAIL: RUNBOOK has no 'Restore verified:' line — record a restore-drill date	FAIL: 'Restore verified:' still holds the [date] placeholder — run a restore drill and record the date	-	- Restore verified: 2026-06-01 (passed)	- Restore verified: [date]
